Levels Grapheme Reconstruction Report
Generated: 2026-02-16T06:54:30.346Z
Total levels: 355
Potential misspellings (mismatch): 1

Entries
id | expected | reconstructed | status
--- | --- | --- | ---
lvl_accomplishment | ACCOMPLISHMENT | ACCOMPLISHMENT | OK
lvl_accountability | ACCOUNTABILITY | ACCOUNTABILITY | OK
lvl_achievement | ACHIEVEMENT | ACHIEVEMENT | OK
lvl_acknowledgment | ACKNOWLEDGMENT | ACKNOWLEDGMENT | OK
lvl_acquaintance | ACQUAINTANCE | ACQUAINTANCE | OK
lvl_acquiesce | ACQUIESCE | ACQUIESCE | OK
lvl_acquire | ACQUIRE | ACQUIRE | OK
lvl_acre | ACRE | ACRE | OK
lvl_action | ACTION | ACTION | OK
lvl_administrative | ADMINISTRATIVE | ADMINISTRATIVE | OK
lvl_advertisement | ADVERTISEMENT | ADVERTISEMENT | OK
lvl_air | AIR | AIR | OK
lvl_aisle | AISLE | AISLE | OK
lvl_alternative | ALTERNATIVE | ALTERNATIVE | OK
lvl_amalgam | AMALGAM | AMALGAM | OK
lvl_amazement | AMAZEMENT | AMAZEMENT | OK
lvl_any | ANY | ANY | OK
lvl_application | APPLICATION | APPLICATION | OK
lvl_appointment | APPOINTMENT | APPOINTMENT | OK
lvl_appreciation | APPRECIATION | APPRECIATION | OK
lvl_association | ASSOCIATION | ASSOCIATION | OK
lvl_asthma | ASTHMA | ASTHMA | OK
lvl_astonishing | ASTONISHING | ASTONISHING | OK
lvl_authorization | AUTHORIZATION | AUTHORIZATION | OK
lvl_autumn | AUTUMN | AUTUMN | OK
lvl_availability | AVAILABILITY | AVAILABILITY | OK
lvl_backdrop | BACKDROP | BACKDROP | OK
lvl_backpack | BACKPACK | BACKPACK | OK
lvl_backtrack | BACKTRACK | BACKTRACK | OK
lvl_ballet | BALLET | BALLET | OK
lvl_basketball | BASKETBALL | BASKETBALL | OK
lvl_beauty | BEAUTY | BEAUTY | OK
lvl_believable | BELIEVABLE | BELIEVABLE | OK
lvl_beneficiary | BENEFICIARY | BENEFICIARY | OK
lvl_benign | BENIGN | BENIGN | OK
lvl_bologna | BOLOGNA | BOLOGNA | OK
lvl_book | BOOK | BOOK | OK
lvl_bouquet | BOUQUET | BOUQUET | OK
lvl_box | BOX | BOX | OK
lvl_bridge | BRIDGE | BRIDGE | OK
lvl_brooch | BROOCH | BROOCH | OK
lvl_build | BUILD | BUILD | OK
lvl_buoy | BUOY | BUOY | OK
lvl_bureau | BUREAU | BUREAU | OK
lvl_bury | BURY | BURY | OK
lvl_business | BUSINESS | BUSINESS | OK
lvl_businessmen | BUSINESSMEN | BUSINESSMEN | OK
lvl_busy | BUSY | BUSY | OK
lvl_buy | BUY | BUY | OK
lvl_buzzards | BUZZARDS | BUZZARDS | OK
lvl_cafe | CAFE | CAFE | OK
lvl_cancellation | CANCELLATION | CANCELLATION | OK
lvl_appuccino | CAPPUCCINO | CAPPUCCINO | OK
lvl_captain | CAPTAIN | CAPTAIN | OK
lvl_cat | CAT | CAT | OK
lvl_celebration | CELEBRATION | CELEBRATION | OK
lvl_cello | CELLO | CELLO | OK
lvl_center | CENTER | CENTER | OK
lvl_champagne | CHAMPAGNE | CHAMPAGNE | OK
lvl_championship | CHAMPIONSHIP | CHAMPIONSHIP | OK
lvl_character | CHARACTER | CHARACTER | OK
lvl_chassis | CHASSIS | CHASSIS | OK
lvl_checklist | CHECKLIST | CHECKLIST | OK
lvl_chemistry | CHEMISTRY | CHEMISTRY | OK
lvl_choir | CHOIR | CHOIR | OK
lvl_chord | CHORD | CHORD | OK
lvl_chorus | CHORUS | CHORUS | OK
lvl_chronicle | CHRONICLE | CHRONICLE | OK
lvl_city | CITY | CITY | OK
lvl_civilization | CIVILIZATION | CIVILIZATION | OK
lvl_cocoa | COCOA | COCOA | OK
lvl_collaboration | COLLABORATION | COLLABORATION | OK
lvl_colonel | COLONEL | COLONEL | OK
lvl_column | COLUMN | COLUMN | OK
lvl_combination | COMBINATION | COMBINATION | OK
lvl_comfortable | COMFORTABLE | COMFORTABLE | OK
lvl_communication | COMMUNICATION | COMMUNICATION | OK
lvl_compatibility | COMPATIBILITY | COMPATIBILITY | OK
lvl_competition | COMPETITION | COMPETITION | OK
lvl_competitive | COMPETITIVE | COMPETITIVE | OK
lvl_composition | COMPOSITION | COMPOSITION | OK
lvl_comprehensible | COMPREHENSIBLE | COMPREHENSIBLE | OK
lvl_computerized | COMPUTERIZED | COMPUTERIZED | OK
lvl_concentrate | CONCENTRATE | CONCENTRATE | OK
lvl_condemn | CONDEMN | CONDEMN | OK
lvl_confidence | CONFIDENCE | CONFIDENCE | OK
lvl_configuration | CONFIGURATION | CONFIGURATION | OK
lvl_conscience | CONSCIENCE | CONSCIENCE | OK
lvl_consequence | CONSEQUENCE | CONSEQUENCE | OK
lvl_considerate | CONSIDERATE | CONSIDERATE | OK
lvl_consideration | CONSIDERATION | CONSIDERATION | OK
lvl_construction | CONSTRUCTION | CONSTRUCTION | OK
lvl_constructively | CONSTRUCTIVELY | CONSTRUCTIVELY | OK
lvl_conversation | CONVERSATION | CONVERSATION | OK
lvl_cooperation | COOPERATION | COOPERATION | OK
lvl_cooperative | COOPERATIVE | COOPERATIVE | OK
lvl_corporation | CORPORATION | CORPORATION | OK
lvl_corps | CORPS | CORPS | OK
lvl_cough | COUGH | COUGH | OK
lvl_coup | COUP | COUP | OK
lvl_crochet | CROCHET | CROCHET | OK
lvl_czar | CZAR | CZAR | OK
lvl_debris | DEBRIS | DEBRIS | OK
lvl_debt | DEBT | DEBT | OK
lvl_deign | DEIGN | DEIGN | OK
lvl_description | DESCRIPTION | DESCRIPTION | OK
lvl_destination | DESTINATION | DESTINATION | OK
lvl_determination | DETERMINATION | DETERMINATION | OK
lvl_development | DEVELOPMENT | DEVELOPMENT | OK
lvl_diaphragm | DIAPHRAGM | DIAPHRAGM | OK
lvl_differences | DIFFERENCES | DIFFERENCES | OK
lvl_disappointment | DISAPPOINTMENT | DISAPPOINTMENT | OK
lvl_doubt | DOUBT | DOUBT | OK
lvl_druid | DRUID | DRUID | OK
lvl_duck | DUCK | DUCK | OK
lvl_educational | EDUCATIONAL | EDUCATIONAL | OK
lvl_effectively | EFFECTIVELY | EFFEKTIVELY | MISMATCH
lvl_eight | EIGHT | EIGHT | OK
lvl_elephant | ELEPHANT | ELEPHANT | OK
lvl_engineering | ENGINEERING | ENGINEERING | OK
lvl_environmental | ENVIRONMENTAL | ENVIRONMENTAL | OK
lvl_eschew | ESCHEW | ESCHEW | OK
lvl_establishment | ESTABLISHMENT | ESTABLISHMENT | OK
lvl_examination | EXAMINATION | EXAMINATION | OK
lvl_explanation | EXPLANATION | EXPLANATION | OK
lvl_extraordinary | EXTRAORDINARY | EXTRAORDINARY | OK
lvl_eye | EYE | EYE | OK
lvl_fascinating | FASCINATING | FASCINATING | OK
lvl_fashioned | FASHIONED | FASHIONED | OK
lvl_faux | FAUX | FAUX | OK
lvl_feather | FEATHER | FEATHER | OK
lvl_firefight | FIREFIGHT | FIREFIGHT | OK
lvl_fishhook | FISHHOOK | FISHHOOK | OK
lvl_fjord | FJORD | FJORD | OK
lvl_flashing | FLASHING | FLASHING | OK
lvl_flexibility | FLEXIBILITY | FLEXIBILITY | OK
lvl_flood | FLOOD | FLOOD | OK
lvl_freezing | FREEZING | FREEZING | OK
lvl_friend | FRIEND | FRIEND | OK
lvl_fudge | FUDGE | FUDGE | OK
lvl_fun | FUN | FUN | OK
lvl_furthermore | FURTHERMORE | FURTHERMORE | OK
lvl_gauge | GAUGE | GAUGE | OK
lvl_gem | GEM | GEM | OK
lvl_gentleman | GENTLEMAN | GENTLEMAN | OK
lvl_ghost | GHOST | GHOST | OK
lvl_gnarl | GNARLY | GNARLY | OK
lvl_gnat | GNAT | GNAT | OK
lvl_gnaw | GNAW | GNAW | OK
lvl_gnocchi | GNOCCHI | GNOCCHI | OK
lvl_gnome | GNOME | GNOME | OK
lvl_grandmother | GRANDMOTHER | GRANDMOTHER | OK
lvl_graph | GRAPH | GRAPH | OK
lvl_handicapped | HANDICAPPED | HANDICAPPED | OK
lvl_handwriting | HANDWRITING | HANDWRITING | OK
lvl_harmonize | HARMONIZE | HARMONIZE | OK
lvl_head | HEAD | HEAD | OK
lvl_headphones | HEADPHONES | HEADPHONES | OK
lvl_heart | HEART | HEART | OK
